[00:00:22] Broadcast: litwinek detached (from 109.196.47.40)
[00:19:09] Broadcast: Soxis detached (from 86.63.85.25)
[06:07:08] Broadcast: McKeyPL attached (from 77.254.55.189)
[06:07:08] Broadcast: McKeyPL attached (from 77.254.55.189)
[08:47:16] Broadcast: McKeyPL detached (from 77.254.55.189)
[08:47:20] Broadcast: McKeyPL detached (from 77.254.55.189)
[12:45:38] Broadcast: Soxis attached (from 86.63.85.25)
[12:45:38] Broadcast: Soxis attached (from 86.63.85.25)
[12:45:47] Broadcast: Soxis detached (from 86.63.85.25)
[13:39:53] Broadcast: Soxis detached (from 86.63.85.25)
[14:54:37] Broadcast: McKeyPL attached (from 77.254.55.189)
[14:54:37] Broadcast: McKeyPL attached (from 77.254.55.189)
[17:47:07] Broadcast: Soxis attached (from 86.63.85.25)
[17:47:07] Broadcast: Soxis attached (from 86.63.85.25)
[17:48:39] Broadcast: Soxis detached (from 86.63.85.25)
